typhoon_name,admin_L3_code,admin_L2_code,admin_L3_name,comp_damage_houses,part_damage_houses,total_damage_houses,pop_15,n_households,pop_density_15,average_speed_mph,distance_typhoon_km,Rainfallme,distance_first_impact,x_pos,y_pos,mean_elevation_m,mean_slope,slope_stdev,mean_ruggedness,ruggedness_stdev,with_coast,coast_length,perimeter,area_km2,poverty_perc,duration_days,in_winter,roof_conc_abs,roof_makeshift_abs,roof_straw_abs,roof_iron_abs,roof_half_conc_abs,roof_wood_abs,wall_conc_abs,wall_wood_abs,wall_iron_abs,wall_makeshift_abs,wall_bamboo_abs,wall_half_wood_abs
Hagupit,PH054111000,PH054100000,CITY OF MASBATE (Capital),21,60,81,95389,17058,475.3359877,82.9041667,32.0938526,146.3265928,208432.4124,561333.6936,1363872.296,88.8141615,6.324796711,5.669735249,32.92673415,26.42116106,1,59825.58847,113383,200.677,6.741867511,12.0,1.0,215.845842294,125.635462194,3230.47897478,12834.1770527,337.979979408,313.882688664,4689.53137143,7096.43226355,57.355597446,298.574498304,2677.00098276,2239.10530357
Hagupit,PH054112000,PH054100000,MILAGROS,34,118,152,57473,10290,120.1735494,78.86136569,46.53287638,153.6465225,209903.4876,557012.8692,1349029.963,66.26292384,3.988658377,4.499818626,20.14891789,20.90379484,1,70792.39902,177914,478.25,9.712386686,12.0,1.0,15.0389379,153.5555091,5611.30612644,4313.20801464,155.73219396,41.15920767,1893.41558658,1545.78313491,36.1331292,305.1462456,5138.84545839,1370.67644532
Hagupit,PH054113000,PH054100000,MOBO,93,787,880,38813,6755,258.3898649,85.75833401,31.07991313,152.6459399,196366.9367,572172.551,1356930.62,175.0667224,9.251404701,5.847852767,46.01288003,25.41074263,1,22494.16633,57061,150.211,9.061396955,12.0,1.0,32.057493965,5.82863281,3494.26699755,3115.59997658,85.680940135,21.565952205,1611.09680994,2218.30094987,23.563729945,37.00089078,2279.25505038,585.782569085
Hagupit,PH054114000,PH054100000,MONREAL,10,87,97,26614,5008,298.466956,90.0,0.672529322,127.1999969,210506.5042,569350.9351,1396282.81,113.4684659,8.628991271,6.0404463,44.2990374,28.81987768,1,5157.268486,93622,89.169,8.070940107,12.0,1.0,24.06025992,9.991125264,3904.89833677,1021.13366894,38.129394576,9.787224544,736.393933136,1086.24620758,3.60878984,60.347010976,2759.92345341,361.480605056
Hagupit,PH054115000,PH054100000,PALANAS,63,375,438,26222,5568,200.8286806,86.4469997,31.1551129,189.6000061,168034.7118,597691.1589,1337497.829,121.0768297,5.743139517,4.32115822,28.96878029,19.34089707,1,14650.96926,68473,130.569,9.648386851,12.0,1.0,11.516027136,4.207782144,3257.92888358,2173.20754387,70.424943744,50.71481952,986.42688,1813.83168,29.62176,40.53504,2073.07776,624.50688
Hagupit,PH054116000,PH054100000,PIO V. CORPUZ (LIMBUHAN),19,113,132,23236,5338,256.7797547,80.61051098,44.76374676,202.4539821,152205.0213,612454.4349,1310888.983,57.53132486,3.854390721,3.645102573,20.59281225,16.41249599,1,27896.42011,68543,90.49,9.295920124,12.0,1.0,25.705507322,93.546837924,1584.46616652,3554.77992118,64.396265472,15.105296246,1536.92643495,1610.4868774,27.044277722,125.215019358,1232.94872965,805.378660916
Hagupit,PH054117000,PH054100000,PLACER,15,58,73,55826,11433,280.8346664,79.99560709,46.7482857,159.4632996,167306.8513,597218.2429,1318708.588,23.42163309,1.69027423,1.400355981,9.645817398,6.647803108,1,21726.35453,80905,198.786,8.981478164,12.0,1.0,24.052882596,71.9512989,5818.10270437,5309.05241522,150.12317877,59.717508714,1841.40868662,1155.52044787,85.501427541,115.739734632,6972.95383013,1261.87587321
Hagupit,PH054118000,PH054100000,SAN FERNANDO,24,239,263,23057,4765,295.288347,90.0,9.005720593,146.4456016,195853.6541,578805.0117,1379601.046,77.15576758,7.520728191,6.018578076,38.86845704,27.7155905,1,25279.94624,45413,78.083,7.715661187,12.0,1.0,25.48610759,9.472710405,3334.62039053,1347.60614166,35.860984975,11.95366007,981.399843145,1619.03809116,5.92692619,15.064266365,1516.05778792,627.51308522
Hagupit,PH054120000,PH054100000,SAN PASCUAL,28,157,185,46674,9183,182.142439,79.99907246,1.71600611,161.5147847,290362.6779,502999.4112,1443567.442,58.86474248,5.185826825,3.756336604,28.0460395,17.48350976,1,126512.5503,170495,256.25,8.617217294,12.0,1.0,56.969477034,348.36509421,5999.91214662,2530.66725616,172.218083013,74.867933772,1590.00898365,652.929014007,41.993803902,378.796885851,5769.13837025,750.132942339
Hagupit,PH056202000,PH056200000,BARCELONA,1,71,72,20990,4651,352.0099281,70.00391905,47.81416072,156.0,175728.3624,621051.4176,1418878.234,90.72904401,4.191145435,3.198953349,22.86425942,14.35994355,1,12700.52651,41088,59.629,8.199142449,12.0,1.0,57.908610337,6.866634078,1711.3940433,2564.4588594,146.488189013,163.88365922,1917.82484122,1452.56456311,11.448334178,32.055333838,304.067738652,933.039188997
Hagupit,PH056203000,PH056200000,BULAN,19,203,222,100076,19582,500.9937173,90.8995822,22.238005,125.4993991,184712.5329,600504.0608,1402358.821,74.31578507,6.154126022,6.42990326,32.12408326,29.71040341,1,40061.51161,78529,199.755,7.665174467,12.0,1.0,112.506638202,46.756000146,12631.009927,5841.36983555,503.670736856,446.686842708,7614.8505972,4120.46887834,89.470882534,122.290823666,4213.91161709,3421.00722075
Hagupit,PH056205000,PH056200000,CASIGURAN,1,34,35,32842,6410,374.3019307,71.8707137,45.34642916,155.931501,183907.857,613113.5628,1421797.399,96.2743641,4.212433128,4.702252344,22.66957878,23.27157986,1,15032.17207,47881,87.742,7.682236161,12.0,1.0,30.14465314,57.37878168,1236.34644801,4837.90452095,215.58622236,32.63938027,3111.24526316,1447.53992942,16.19683287,58.97307688,516.84505614,1259.19984153
Hagupit,PH056206000,PH056200000,CASTILLA,14,307,321,57827,11022,296.5031021,74.14555924,39.65368698,136.2907312,209870.6899,588565.9144,1431796.471,108.7510711,4.974408732,5.359765546,25.9754771,25.45305418,1,55324.9094,107757,195.03,8.601518322,12.0,1.0,201.261455472,30.189213912,6504.51881449,4033.82473738,213.421003026,38.7847647,4182.31050917,2249.1955132,25.118983692,92.730907632,2913.17394245,1559.47013284
Hagupit,PH056207000,PH056200000,DONSOL,25,628,653,49711,9397,324.6877939,76.98089117,28.03084723,136.2239398,233160.7505,562604.2291,1433996.126,52.99279908,3.956048043,3.064929209,24.02212982,14.18806533,1,24426.38913,73262,153.104,11.19671702,12.0,1.0,117.58870171,10.293962444,6605.15920288,2425.41541013,191.823986834,46.718745402,2724.42274419,1195.60000611,10.499888302,53.688086834,3957.86195091,1454.92733305
Hagupit,PH056209000,PH056200000,IROSIN,8,996,1004,56662,10447,421.8779084,80.71843509,31.57723489,149.8732924,176363.5156,611761.9784,1405545.365,224.2217807,10.24244314,9.026013399,50.81347122,43.4290832,0,,48380,134.309,6.856447002,12.0,1.0,60.678202718,9.943914268,4970.33594765,5214.87517619,138.808986037,52.357773144,5303.02922919,2337.85539096,18.843870273,101.311119716,1025.67376689,1660.28662297
Hagupit,PH056211000,PH056200000,MAGALLANES,11,20,31,37038,7187,332.0513165,80.71058611,30.4512829,134.3999939,195495.4166,595829.8379,1416206.275,99.1991391,7.739885921,6.470111105,39.19191924,30.39629192,1,18.20665019,70098,111.543,9.460554026,12.0,1.0,21.089331564,8.31406534,4715.290082,2310.49822038,82.12671144,49.681589274,2201.31185742,1430.65983735,19.083583604,58.062824316,2305.86553768,1172.01635244
Hagupit,PH056212000,PH056200000,MATNOG,79,764,843,41101,7481,296.3131182,90.45840326,21.25617876,150.6639844,169219.9151,612607.4703,1391954.747,132.2541719,10.70954129,6.988012395,53.16117507,31.61457428,1,45604.39314,102880,138.708,8.598330941,12.0,1.0,149.616012627,3.586002388,5676.44358607,1437.58877388,161.768582925,51.997042107,2131.39015724,2276.73939648,15.352388504,28.910346943,1581.89424904,1446.71346928
Hagupit,PH056213000,PH056200000,PILAR,53,352,405,74564,13727,370.6922266,75.74138986,33.16777281,136.1437476,220762.613,575811.6485,1431968.655,28.62279207,2.663168936,1.919436733,16.18956564,9.296030812,1,108872.5324,179874,201.148,9.422777748,12.0,1.0,244.606038999,36.327626972,8920.04743063,4222.88502705,259.742541086,43.391335267,4492.68317217,1687.82745825,93.407197191,95.234727609,5105.71867905,2252.12876574
Hagupit,PH056214000,PH056200000,PRIETO DIAZ,23,292,315,22442,4219,399.4446719,70.0,68.43046486,146.4793328,186356.0175,625428.9946,1441428.229,54.06221754,3.285076315,3.309876317,17.392381,15.16943438,1,37261.40412,50702,56.183,9.834239373,12.0,1.0,32.315215331,16.986204499,1340.2528605,2736.02160548,89.90258662,3.521531796,1623.18715161,1164.78515678,29.674733086,67.442575579,602.832865531,731.07751742
Hagupit,PH056215000,PH056200000,SANTA MAGDALENA,10,53,63,16848,3417,320.8959488,82.60599603,30.57479792,156.0,167830.1893,618122.1067,1399467.787,108.50781,8.937169825,5.295714009,43.99014574,23.06813103,1,13346.49961,34951,52.503,8.30365622,12.0,1.0,56.223861303,3.52695906,2273.85063895,940.660473051,136.514026059,6.224044998,1193.35349687,612.151914312,9.347415354,8.308814787,977.324315829,616.514042844
Hagupit,PH056216000,PH056200000,CITY OF SORSOGON (Capital),42,482,524,168110,32694,597.5353577,70.0,55.91810745,146.1729254,198939.7968,607330.9965,1439340.115,220.5774242,8.824635343,8.943825852,44.72222753,44.0899269,1,83262.47814,128310,281.339,4.978288026,12.0,1.0,326.664781908,177.834370452,6847.68133832,24328.7987964,820.155112506,192.865600422,17801.2360838,6569.84298569,292.144233516,568.97956692,2461.5383219,5000.25880814
Hagupit,PH061909000,PH061900000,PANAY,3,11,14,46114,9782,347.7677225,40.0,149.7371349,191.5293402,285946.6579,481716.9831,1275118.904,3.991104836,0.775181146,0.674081427,5.125985261,3.530587022,1,35201.73439,78131,132.6,4.920414625,12.0,1.0,29.955702278,41.44247011,3363.14669082,6158.71170112,156.08496679,32.658468878,2252.42084934,508.56021298,48.735136968,42.191996296,5403.50865859,1526.58313604
Hagupit,PH061915000,PH061900000,SAPI-AN,1,97,98,25821,5608,294.2564103,40.0,166.8115273,153.0076302,312762.3036,455175.9654,1271288.72,41.91059638,5.358839014,5.392034166,28.51416075,25.75153332,1,16513.43622,58022,87.75,7.187947794,12.0,1.0,5.436081152,0.4531264,2140.231512,3370.14548391,84.0327956,7.701118704,1389.53072416,94.086352536,15.189845624,0.680143848,3372.8256817,735.687257736
Hagupit,PH063005000,PH063000000,BALASAN,8,406,414,33088,6514,587.1247072,45.53254232,141.4521128,158.3999939,260508.7704,509081.2111,1266257.672,42.35956667,3.883486425,7.281666076,20.50944795,35.28392702,1,6996.769021,41701,56.356,4.823500967,12.0,1.0,9.452048504,12.969087384,2254.64324826,3840.82884492,357.858947058,38.247823876,1493.19060574,117.756040292,33.015713936,28.393509816,3394.45541202,1447.18871168
Hagupit,PH063014000,PH063000000,CARLES,189,245,434,68160,12240,660.4267194,50.0,128.9861511,191.9162784,248310.764,520114.4732,1273537.592,35.23864693,5.266979076,6.210980474,26.37372179,29.10406333,1,39997.38619,209615,103.206,7.253521127,12.0,1.0,27.45406296,136.6819992,5375.89694808,5711.42477304,610.26451488,378.27771408,2782.76220072,570.54168792,42.71225112,183.58432056,6532.03611144,2128.36342824
Hagupit,PH063019000,PH063000000,ESTANCIA,12,459,471,48546,8756,1689.261605,50.0,138.1999853,158.3999939,255048.4442,514686.6344,1266090.25,21.62352585,2.964785678,2.66301285,15.78917693,12.23365356,1,16755.02357,42836,28.738,5.631771928,12.0,1.0,35.620432452,8.076727032,2017.11069256,5982.78344638,558.950896724,153.457804852,1987.38022868,545.062952588,96.332881568,27.170813648,3607.74864582,2492.3044777
Hagupit,PH063027000,PH063000000,LEMERY,1,1,2,30851,5995,206.5242131,40.0,172.5562081,142.9541168,284331.7465,490574.4496,1241255.922,130.9968703,4.8894737,5.068143147,25.66503379,23.24149409,0,,55464,149.382,5.393666332,12.0,1.0,8.090714115,5.02936137,1224.54041457,4507.83940211,58.821675055,190.678438775,1198.16854745,213.114714285,20.56753809,10.064963535,3685.09033216,867.99390447
Hagupit,PH072208000,PH072200000,BALAMBAN,1,20,21,87177,16108,393.886818,40.0,186.3181305,104.9873627,239453.2727,584976.7139,1158966.646,283.5520326,13.32720771,9.20573598,68.58000311,42.51592768,1,20282.84222,88886,221.325,3.880610712,12.0,1.0,23.490022564,52.681520052,1114.74995192,14149.6616527,428.065799164,339.351053596,5054.34949029,4960.53907557,55.008046816,110.700844712,3009.92172759,2917.48081503
Hagupit,PH072218000,PH072200000,COMPOSTELA,5,81,86,47898,9421,1010.463694,40.0,176.8843252,102.5411764,224846.4563,606135.9004,1157808.495,131.5568641,9.072123518,6.805080145,47.79893019,30.79319668,1,8377.809206,49423,47.402,3.046056203,12.0,1.0,48.425598096,29.3219204,504.470328609,8332.97901657,257.233216777,248.569919544,3384.99477831,1545.43109005,22.677402152,116.75492405,1937.68273437,2413.45907107
Hagupit,PH072231000,PH072200000,MEDELLIN,26,266,292,55332,10393,728.6662453,52.3385508,113.563135,188.058395,179479.3298,606699.6953,1231930.307,27.66145487,2.138074284,1.946969583,12.09325125,9.772364907,1,40858.26203,65468,75.936,9.410467722,12.0,1.0,69.532402223,102.832561558,799.203772075,8585.36694037,167.547964176,668.516359602,2885.58440838,2572.35695255,20.714444195,224.511061806,2583.23725953,2106.59588392
Hagupit,PH072242000,PH072200000,SAN FRANCISCO,22,59,81,55180,10247,603.8388304,47.02636203,144.4735594,148.8000031,183850.3603,645748.819,1177066.399,47.1140254,2.982664144,3.053017523,14.80063534,13.6109974,1,4450.152572,76332,91.382,9.256977166,12.0,1.0,6.297959905,13.681773906,2703.12837135,7437.45780428,75.141189518,11.292890796,2876.05420209,922.912921562,32.95342977,40.324598973,4636.4612684,1738.2935792
Hagupit,PH072244000,PH072200000,SANTA FE,1,129,130,28603,5395,976.7783356,53.0368936,116.0997706,180.7291121,191052.3207,589744.7536,1240236.929,18.27508651,1.734196583,1.701328388,8.73193527,7.144404971,1,16242.69832,46807,29.283,12.38681257,12.0,1.0,54.90688957,26.06088199,1346.21354075,3723.32386959,147.21413109,97.28068701,2013.59302228,771.14205064,14.971691475,70.06753013,1641.69614239,883.529563085
Hagupit,PH072247000,PH072200000,SOGOD,1,182,183,35108,7034,313.7752594,40.29649157,149.4130916,148.9505025,204031.2654,605365.8877,1189736.537,206.4711581,6.163394389,4.897141104,36.8351447,23.89492696,1,11980.07104,59052,111.889,4.751053891,12.0,1.0,13.844185154,4.845462342,580.994324966,6371.78645453,24.227325778,38.302247234,1921.42553848,816.18484416,18.685975748,42.216457214,2906.93758563,1328.5496058
Hagupit,PH072248000,PH072200000,TABOGON,39,387,426,39013,7215,442.6956857,50.0,131.5123867,181.1270438,189516.0877,609414.4552,1208505.721,112.1689087,6.202721239,4.593025909,34.55307538,22.12526786,1,17671.81877,48219,88.126,9.486581396,12.0,1.0,17.13307089,39.09854676,618.767469255,6272.68106497,204.49858338,62.82126474,1408.5121052,1234.75460218,25.92083988,101.26701273,3022.63357909,1421.91186092
Hagupit,PH082608000,PH082600000,GIPORLOS,22,266,288,13308,2492,142.7299735,70.48591588,81.72477413,208.3434207,82324.65683,767651.5348,1235137.925,127.1416144,6.641969628,5.012558893,33.64195807,22.41125403,1,38830.03803,78978,93.239,8.400961827,12.0,1.0,10.5724969,1.658430984,940.330422752,1461.90699712,69.032192824,8.499459416,647.451862848,408.15800144,33.020462804,7.314660444,1109.94733368,286.107681272
Hagupit,PH082609000,PH082600000,GUIUAN,31,799,830,52991,10002,299.9366064,57.50643791,121.3174256,236.2561038,121341.9653,799211.3165,1201125.809,72.92487772,5.714613761,5.012478895,27.41985107,22.41254648,1,40155.96192,232132,176.674,6.118020041,12.0,1.0,21.955710264,31.121693094,2647.4753892,7127.08047107,108.712758204,65.65397817,3553.35906971,2853.60149618,115.372989984,144.3773697,2325.50689838,1009.78218605
Hagupit,PH082610000,PH082600000,HERNANI,79,712,791,8573,1637,173.087018,82.81363724,67.01118992,278.3999939,66982.10227,782617.381,1252912.017,95.91010101,5.594387701,4.343749728,28.35114614,19.68050494,1,24106.79156,40349,49.53,8.340137641,12.0,1.0,3.486906583,0.410224015,768.555193843,741.27527802,122.657060698,0.615336841,408.736512388,178.693852676,8.215809977,3.90250978,741.682183836,295.769134617
Hagupit,PH082614000,PH082600000,MASLOG,109,684,793,5407,899,17.77267931,100.1052474,24.79256318,242.9740612,34908.31875,739029.737,1341253.308,256.6714834,8.550892156,5.7491953,43.83900767,25.79027334,0,,77815,304.231,9.469206584,12.0,1.0,2.632503942,1.316251971,239.369796912,595.886007556,42.496130954,17.299309564,32.208641113,543.189251737,6.631190315,7.010116118,224.134246132,85.826554585
Hagupit,PH082616000,PH082600000,MERCEDES,8,417,425,6070,1133,305.4549114,69.87500479,95.0974518,244.8000031,95307.95066,795417.9842,1227242.476,22.41438788,2.479752997,3.408689862,13.07596798,15.70318281,1,17420.09686,26272,19.872,6.013179572,12.0,1.0,5.697708577,6.752840886,287.628794607,826.378841959,4.853604316,1.688209655,474.433069209,203.786198649,16.661764306,35.246040401,284.958899368,117.914026934
Hagupit,PH083710000,PH083700000,BURAUEN,12,3,15,52732,10594,169.8522828,53.09597574,106.8072762,188.1957883,125666.7543,700334.6023,1209364.267,318.207168,11.05439383,9.658842296,57.40033782,48.6513663,0,,110064,310.458,5.22073883,12.0,1.0,10.8821568,10.8821568,3528.21377819,6607.86494714,298.388813614,137.76813687,2777.07854107,4135.8704052,28.112937604,26.805351966,2279.54496555,1346.5877986
Hagupit,PH083717000,PH083700000,DAGAMI,27,434,461,35147,6734,282.0809156,60.01523956,91.90113651,208.8000031,110514.9452,704969.0196,1224305.02,97.79804408,2.890689149,3.099314785,15.12638963,14.82324558,0,,66479,124.599,6.757333485,12.0,1.0,6.422101322,7.49245042,3014.31967255,3508.82137333,150.919350764,46.025051618,1663.96362896,1863.9304391,21.195621902,10.062569062,2462.76037225,712.08736872
Hagupit,PH083719000,PH083700000,HILONGOS,22,341,363,63431,12877,327.6800843,40.0,164.2869556,124.2459775,177919.1201,699283.645,1151875.264,157.4651263,8.051600362,7.540679285,41.92877041,35.92351825,1,13388.31679,70072,193.576,5.520959783,12.0,1.0,18.672873315,15.940258022,2893.61319187,9747.9263433,173.293437938,27.553882675,4876.33358269,1131.01534242,31.734181816,24.200171041,5094.81999818,1718.89673674
Hagupit,PH083721000,PH083700000,INOPACAN,1,7,8,20550,4579,168.0706633,40.03707398,153.2390007,163.4625865,167949.4635,698629.0314,1162918.688,405.5913494,14.846416,9.442469905,76.68735868,45.88958903,1,14737.29766,59092,122.27,4.768856448,12.0,1.0,9.895315159,4.832594178,439.536135713,3944.31902779,13.347171414,167.069755741,2099.24772885,491.696939624,7.628586526,16.644184205,1210.1708919,753.611673472
Hagupit,PH083728000,PH083700000,LA PAZ,1,178,179,19998,4250,210.6738022,50.0,112.2844981,187.1999969,126093.2298,709484.3297,1203954.432,195.3267118,7.789671206,8.881277137,39.9555288,45.75849725,0,,42863,94.924,7.200720072,12.0,1.0,3.1122495,5.557589,2268.38581575,1804.438225,113.59713225,54.90898425,994.7281655,1453.95322,10.00732625,9.78494075,1397.02265525,384.503688
Hagupit,PH083731000,PH083700000,MAHAPLAG,1,117,118,27823,5838,146.8100487,44.96344238,145.8031274,175.8554023,155096.8888,714850.4894,1170474.498,217.5792833,11.34233634,7.976657764,58.37306187,38.10316154,0,,67595,189.517,7.562088919,12.0,1.0,1.324011696,5.958040956,766.822269108,4678.6088585,222.87496161,162.411852288,2357.47923247,921.731193852,17.052692916,29.233183686,1753.10526812,759.39842895
Hagupit,PH084801000,PH084800000,ALLEN,19,10,29,25469,5003,572.9293202,90.0,31.67880364,223.6661218,139836.587,641323.4447,1383560.991,77.24141168,7.06459787,4.417292722,36.06867421,18.43993543,1,20471.69194,44176,44.454,5.669637599,12.0,1.0,44.295066103,3.833228558,3046.56357204,1790.75584422,102.006427156,15.545866927,1761.05257294,1137.98009363,18.20596703,13.279648011,1231.79437344,840.687344941
Hagupit,PH084802000,PH084800000,BIRI,18,689,707,11767,2210,452.3681378,80.0,50.5558046,213.6000061,140230.0704,651034.3327,1399777.001,28.37818553,5.281523364,4.242815566,28.35554192,19.48155612,1,4951.935623,112135,26.012,8.447352766,12.0,1.0,58.34319556,1.00591686,1636.02366863,478.21301801,22.73372855,13.68047239,445.10247977,587.81656466,1.86148742,26.4744961,906.13102398,242.61394586
Hagupit,PH084816000,PH084800000,ROSARIO,3,513,516,10520,1932,173.4056406,80.0,39.34472154,223.6821979,127388.232,655495.7756,1383292.909,57.65591699,4.220448939,4.079709439,23.01256923,18.54261079,1,13716.37172,80642,60.667,8.355513308,12.0,1.0,4.545882012,1.13647002,1237.23764732,628.847058672,31.063528692,29.169411348,407.4570129,665.348415816,3.6108597,1.900452372,643.493212572,210.190044708
